"name","parent","type","size"
"convert_from_pickle.py",".","file",2233
"directory_describe.py",".","file",4719
"dir_info.csv",".","file",0
"dir_info.json",".","file",0
"dir_info.pickle",".","file",0
"id_data.csv","files","file",71
"id_data.json","files","file",256
"id_data.pickle","files","file",98
"names.txt","files","file",142
"numbers.txt","files","file",481
"result.json","files","file",558
"result.pickle","files","file",358
"results.txt","files","file",371
"task_4_res.csv","files","file",54
"task_4_res.json","files","file",370
"task_4_res.pickle","files","file",167
"files",".","dir",2926
"input_to_id_csv.py",".","file",2681
"json_to_pickle.py",".","file",665
"manual_csv_read_to_json.py",".","file",1866
"results_to_json.py",".","file",932
"tasks.md",".","file",1961
"__init__.py",".","file",0
"",".","dir",17983
